icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
ab1644,UAL1214 ,United States,1762987808,1762987808,-96.7539,43.2439,10378.44,False,203.9,242.01,0.0,,10530.84,0151,False,0
ac96b8,AAL3153 ,United States,1762987808,1762987808,-81.4232,35.8513,3474.72,False,208.75,148.5,-8.13,,3520.44,,False,0
a8a812,N657PT  ,United States,1762987808,1762987809,-120.6618,36.3625,12291.06,False,226.91,142.09,7.8,,12649.2,,False,0
a5cb05,N4721B  ,United States,1762987808,1762987808,-81.9423,28.9415,944.88,False,49.82,125.33,0.33,,1013.46,,False,0
aa56db,UAL2077 ,United States,1762987808,1762987808,-123.2936,43.5613,6202.68,False,200.88,186.47,10.4,,6256.02,,False,0
408121,VIR117F ,United Kingdom,1762987808,1762987808,-81.1235,29.6748,11582.4,False,233.56,179.62,0.0,,12085.32,7010,False,0
a808bb,N61697  ,United States,1762987780,1762987781,-80.4382,25.643,-60.96,False,25.74,87.71,-1.63,,-22.86,,False,0
aa9321,UAL915  ,United States,1762987801,1762987808,-77.4444,38.9449,,True,0.77,14.06,,,,,False,0
a77ec5,EJA582  ,United States,1762987808,1762987808,-96.4271,33.2026,2019.3,False,139.42,232.5,-6.18,,2095.5,1622,False,0
a412b6,N3612W  ,United States,1762987605,1762987628,-79.602,33.4544,1318.26,False,87.7,121.08,-2.28,,1325.88,,False,0
a665b9,LXJ511  ,United States,1762987808,1762987808,-77.451,39.0434,13098.78,False,206.65,219.04,0.0,,13091.16,5610,False,0
ab6fdd,AAL2879 ,United States,1762987808,1762987808,-100.4501,34.7045,10668.0,False,259.3,117.28,0.0,,11117.58,,False,0
a3b87f,DAL1890 ,United States,1762987808,1762987808,-118.2419,33.9681,784.86,False,135.21,263.23,-6.18,,815.34,,False,0
a678e5,JTZ516  ,United States,1762987808,1762987808,-91.9128,37.7684,9883.14,False,231.97,64.8,-15.28,,10157.46,,False,0
a305fd,SKW3966 ,United States,1762987808,1762987808,-92.1311,40.2107,11277.6,False,241.13,175.1,-0.33,,11483.34,5127,False,0
aa56d8,UAL1946 ,United States,1762987808,1762987808,-87.8417,39.7979,11064.24,False,254.78,178.15,3.58,,11193.78,,False,0
aa56d4,UAL2093 ,United States,1762987808,1762987808,-103.1218,40.3374,9014.46,False,197.39,255.82,-5.2,,9334.5,,False,0
a3fefb,N357BV  ,United States,1762987809,1762987809,-75.819,39.5581,5547.36,False,175.54,36.3,-8.78,,5379.72,7177,False,0
a52bd9,N432PH  ,United States,1762987668,1762987668,-97.4377,32.3627,289.56,False,22.36,156.97,-0.98,,320.04,,False,0
a2cbc4,N28BJ   ,United States,1762987654,1762987654,-105.1096,39.9089,,True,1.03,112.5,,,,,False,0
a57b43,N452TR  ,United States,1762987808,1762987808,-121.7268,38.962,7840.98,False,211.67,259.07,-12.68,,8016.24,3400,False,0
aaef60,AAL1813 ,United States,1762987804,1762987804,-97.0331,32.9027,,True,5.92,0.0,,,,,False,0
a3ebe2,N3517S  ,United States,1762987808,1762987808,-105.0671,40.1033,2438.4,False,64.14,84.02,-1.63,,2529.84,,False,0
a3ebe5,N3517V  ,United States,1762987808,1762987808,-93.9637,45.6197,617.22,False,58.68,238.26,-2.6,,617.22,,False,0
a665c5,GJS4556 ,United States,1762987808,1762987808,-77.4801,42.2448,5783.58,False,191.65,293.74,-6.18,,5585.46,2616,False,0
ac2f61,N8842T  ,United States,1762987808,1762987808,-106.7255,31.9492,1828.8,False,54.5,342.42,1.95,,1935.48,,False,0
a71209,N555AL  ,United States,1762987809,1762987809,-92.9638,43.0697,8328.66,False,121.22,197.28,4.88,,8420.1,,False,0
ad6966,N963XP  ,United States,1762987808,1762987808,-79.6946,33.1282,2552.7,False,144.41,192.55,-7.48,,2598.42,0535,False,0
ad3c16,AAL3090 ,United States,1762987809,1762987809,-75.7593,38.9762,8130.54,False,247.97,36.39,-5.85,,8031.48,,False,0
a1befb,N211U   ,United States,1762987807,1762987808,-97.56,31.7825,1226.82,False,32.38,224.36,-4.88,,1287.78,,False,0
a5954e,UAL3049 ,United States,1762987808,1762987808,-87.627,41.9659,1409.7,False,76.65,270.0,-4.55,,1371.6,3755,False,0
aa9300,UAL804  ,United States,1762987808,1762987808,-79.8323,39.5585,8564.88,False,306.34,114.93,-11.05,,8496.3,6272,False,0
abacb6,SCX606  ,United States,1762987809,1762987809,-111.1042,34.6359,9845.04,False,251.56,41.19,9.1,,10294.62,,False,0
ac96be,AAL2870 ,United States,1762987808,1762987808,-81.3317,31.5072,10043.16,False,241.93,19.24,0.0,,10424.16,6627,False,0
a83e31,N630ES  ,United States,1762987808,1762987808,-89.6641,39.151,2087.88,False,92.59,72.87,0.0,,2125.98,,False,0
c06a11,TLK324  ,Canada,1762987808,1762987808,-93.0821,44.8218,853.44,False,72.09,301.88,-3.58,,838.2,1130,False,0
a69b26,N5247Q  ,United States,1762987625,1762987687,-83.8319,35.9731,373.38,False,31.32,255.74,-2.28,,396.24,,False,0
a21b44,MXY237  ,United States,1762987808,1762987808,-108.3611,39.1189,11277.6,False,264.72,80.15,0.0,,11704.32,,False,0
a6053c,N4872D  ,United States,1762987598,1762987609,-88.0209,43.0948,411.48,False,49.14,59.14,-3.9,,381.0,1200,False,0
