icao24,callsign,origin_country,longitude,latitude,velocity,baro_altitude,geo_altitude,vertical_rate,hour,delay_seconds
a9e8e5,N738BJ  ,United States,-104.7591,40.2838,31.67,2072.64,2133.6,-1.63,14,0
a0ea3f,JAS80   ,United States,-73.6993,41.0572,60.88,213.36,121.92,-3.9,14,0
a49759,N395WJ  ,United States,-84.0128,35.0972,195.18,13106.4,13373.1,0.33,14,0
a1d4e1,N217Q   ,United States,-85.1065,30.7079,76.65,525.78,548.64,-2.6,14,9
a1245e,AMX1689 ,United States,-98.1662,25.3649,220.07,11582.4,12192.0,0.0,14,1
ac3e3a,SWA2135 ,United States,-112.8393,39.2673,191.56,11582.4,11993.88,0.33,14,1
ad28ce,SKW744C ,United States,-104.6659,39.8566,6.17,,,,14,0
aaa2b0,SWA3228 ,United States,-86.6258,36.2172,70.93,617.22,662.94,-5.2,14,0
a8aef3,JBU126  ,United States,-73.774,40.6482,9.26,,,,14,0
ae109a,C102    ,United States,-77.0405,38.8568,7.72,,,,14,0
ab1239,EJA812  ,United States,-82.5432,35.6376,165.16,4922.52,5021.58,21.46,14,0
a9cecd,ASA363  ,United States,-83.8228,29.9911,258.55,10668.0,11117.58,0.0,14,0
a314c5,SCA29   ,United States,-112.3725,33.4102,52.89,579.12,579.12,-0.65,14,0
a7cb67,JIA5584 ,United States,-81.225,35.0837,129.54,3261.36,3314.7,4.88,14,0
a7de93,EDV5142 ,United States,-83.554,42.0241,140.52,2827.02,2720.34,15.28,14,0
ab85f3,N8410L  ,United States,-80.4421,35.4498,63.88,906.78,853.44,-0.98,14,1
a22a3d,N239DC  ,United States,-112.1335,41.8122,63.57,1943.1,2004.06,-1.3,14,0
a35d53,N316CF  ,United States,-121.1204,44.0946,1.63,1082.04,1043.94,-0.98,14,0
a25791,AUB124  ,United States,-85.6556,32.657,56.54,861.06,899.16,0.33,14,0
a91e6e,NKS1523 ,United States,-82.2536,35.0314,226.1,11285.22,11559.54,0.0,14,0
a3ad14,N336LA  ,United States,-122.9505,45.5411,16.57,91.44,45.72,0.0,14,0
a327ee,DAL1472 ,United States,-84.1317,33.6287,94.19,853.44,906.78,-0.65,14,0
a36434,N3177W  ,United States,-88.5105,41.8745,86.86,1066.8,1043.94,-0.65,14,0
ac4ffb,SWA1359 ,United States,-82.626,27.7226,101.35,1135.38,1219.2,-0.33,14,0
a7e4b6,N6078F  ,United States,-95.5152,30.3529,46.83,381.0,411.48,-0.65,14,0
a46a72,DAL2738 ,United States,-84.87,36.9131,241.5,9753.6,9966.96,0.0,14,0
a85430,N636BS  ,United States,-75.7085,40.0121,44.52,822.96,708.66,0.33,14,0
acdc28,N928CV  ,United States,-84.165,36.3454,100.32,7459.98,7658.1,7.15,14,5
ac3cd3,N888PA  ,United States,-121.0966,36.7543,153.01,8839.2,9083.04,0.0,14,0
c0443e,SR207   ,Canada,-89.1855,48.5006,108.86,1280.16,1143.0,-3.9,14,3
a60d70,N48972  ,United States,-122.8491,47.3539,34.41,731.52,693.42,-1.95,14,1
a7f7cd,N612SS  ,United States,-89.9297,35.0234,83.75,1760.22,1813.56,0.0,14,1
a58a67,SWA2259 ,United States,-120.2811,35.5131,213.48,11277.6,11658.6,0.33,14,0
a65ad0,BPX202  ,United States,-84.9323,33.8916,47.49,617.22,670.56,-1.3,14,0
a72129,N559DD  ,United States,-118.2448,33.7461,32.94,182.88,182.88,-8.45,14,1
a794e1,DAL2226 ,United States,-87.5369,34.474,220.44,9753.6,10050.78,0.0,14,0
a05f31,DAL1671 ,United States,-104.6361,37.3151,246.87,7620.0,7962.9,0.33,14,0
ad5cd0,N960GV  ,United States,-80.7316,25.3766,61.25,1264.92,1333.5,-0.33,14,0
ab6020,DAL1976 ,United States,-83.1247,32.5226,204.95,7680.96,7978.14,-5.53,14,1
aca6c0,AAL975  ,United States,-80.3841,26.6681,223.88,11277.6,11856.72,0.0,14,0
ac43d5,N89JT   ,United States,-80.9392,28.9672,78.36,320.04,388.62,6.5,14,1
ad5cb4,N960FS  ,United States,-80.554,25.447,45.79,419.1,441.96,1.3,14,7
ad89ec,,United States,-81.8474,27.7427,55.69,723.9,792.48,-1.63,14,0
ab10ae,N8119H  ,United States,-70.8316,42.7204,36.89,365.76,251.46,-0.33,14,0
abbc52,SWA335  ,United States,-94.0397,29.6879,254.85,9616.44,10058.4,8.45,14,0
a9741d,AAL1365 ,United States,-81.1945,31.951,239.3,10355.58,10728.96,0.0,14,0
a3514f,JBU520  ,United States,-74.3395,39.5203,218.96,6187.44,6073.14,-9.1,14,0
abb007,DAL738  ,United States,-78.0693,39.9686,200.7,11582.4,11506.2,0.33,14,0
ace306,N92977  ,United States,-82.7098,27.3628,82.2,3185.16,3337.56,-2.28,14,0
a149c1,SKW3224 ,United States,-121.1267,44.2639,64.96,1021.08,990.6,-3.58,14,0
a2090d,FFT9430 ,United States,-82.3252,41.0716,188.08,3794.76,3718.56,-4.55,14,0
a23197,N240SH  ,United States,-84.5705,33.4935,5.68,274.32,320.04,-1.3,14,0
407e21,VIR129R ,United Kingdom,-73.9268,41.0747,217.03,11597.64,11414.76,0.0,14,0
a90ab3,N682AP  ,United States,-105.153,40.1591,36.54,1508.76,1539.24,-1.95,14,0
ac9f88,EJA912  ,United States,-84.4583,39.0155,105.15,739.14,723.9,0.0,14,0
a4845f,N390SF  ,United States,-98.4355,34.6095,0.0,,,,14,0
a90ab7,CXK1096 ,United States,-112.2835,41.6254,54.08,2468.88,2529.84,-0.65,14,1
acb9ed,AAL3252 ,United States,-83.0335,35.4433,203.75,8161.02,8382.0,4.55,14,0
adacc2,N980SP  ,United States,-96.8766,32.2314,57.53,1325.88,1363.98,-1.3,14,2
