icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
ab1644,UAL1214 ,United States,1762987740,1762987740,-96.6041,43.3018,10370.82,False,204.36,242.08,-0.33,,10523.22,0151,False,0
ac96b8,AAL3153 ,United States,1762987740,1762987740,-81.5084,35.9646,4213.86,False,224.36,148.79,-12.68,,4290.06,,False,0
a8a812,N657PT  ,United States,1762987740,1762987740,-120.7667,36.471,11750.04,False,225.37,141.95,13.33,,12092.94,,False,0
a5cb05,N4721B  ,United States,1762987740,1762987740,-81.9683,28.9614,944.88,False,49.52,132.47,0.33,,1021.08,,False,0
aa56db,UAL2077 ,United States,1762987740,1762987740,-123.2756,43.6784,5410.2,False,189.98,186.37,14.63,,5425.44,,False,0
408121,VIR117F ,United Kingdom,1762987740,1762987740,-81.1223,29.8174,11582.4,False,231.29,182.93,0.0,,12077.7,7010,False,0
a808bb,N61697  ,United States,1762987740,1762987741,-80.449,25.6425,60.96,False,27.5,82.48,-2.6,,91.44,,False,0
aa9321,UAL915  ,United States,1762987732,1762987732,-77.4444,38.945,,True,0.0,8.44,,,,,False,0
a77ec5,EJA582  ,United States,1762987740,1762987740,-96.3438,33.2568,2385.06,False,145.74,231.59,0.33,,2484.12,1622,False,0
a412b6,N3612W  ,United States,1762987605,1762987628,-79.602,33.4544,1318.26,False,87.7,121.08,-2.28,,1325.88,,False,0
a665b9,LXJ511  ,United States,1762987740,1762987740,-77.347,39.1435,13098.78,False,213.96,219.05,-0.33,,13091.16,5610,False,0
ab6fdd,AAL2879 ,United States,1762987740,1762987740,-100.6218,34.7775,10668.0,False,259.07,117.18,0.0,,11117.58,,False,0
a3b87f,DAL1890 ,United States,1762987740,1762987740,-118.1414,33.9786,1287.78,False,137.96,262.72,-7.15,,1341.12,,False,0
a59545,N459TS  ,United States,1762987432,1762987432,-111.8556,41.7845,,True,2.06,61.88,,,,,False,0
a678e5,JTZ516  ,United States,1762987740,1762987740,-92.0726,37.7082,10873.74,False,225.27,64.43,-13.66,,11170.92,,False,0
a305fd,SKW3966 ,United States,1762987740,1762987740,-92.1473,40.3579,11277.6,False,241.64,175.11,0.33,,11475.72,5127,False,0
aa56d8,UAL1946 ,United States,1762987740,1762987741,-87.8483,39.9542,10713.72,False,254.77,178.26,6.18,,10835.64,,False,0
aa56d4,UAL2093 ,United States,1762987740,1762987740,-102.9681,40.3672,9372.6,False,200.63,255.75,-5.2,,9700.26,,False,0
a3fefb,N357BV  ,United States,1762987741,1762987741,-75.9007,39.4715,6164.58,False,181.93,36.03,-11.38,,5989.32,7177,False,0
a52bd9,N432PH  ,United States,1762987668,1762987668,-97.4377,32.3627,289.56,False,22.36,156.97,-0.98,,320.04,,False,0
a2cbc4,N28BJ   ,United States,1762987654,1762987654,-105.1096,39.9089,,True,1.03,112.5,,,,,False,0
a57b43,N452TR  ,United States,1762987740,1762987740,-121.5675,38.9971,8572.5,False,209.22,245.14,-5.2,,8763.0,3400,False,0
aaef60,AAL1813 ,United States,1762987686,1762987686,-97.0339,32.9013,,True,0.0,90.0,,,,,False,0
a3ebe2,N3517S  ,United States,1762987740,1762987740,-105.106,40.0874,2438.4,False,56.48,41.68,-2.28,,2529.84,,False,0
a3ebe5,N3517V  ,United States,1762987740,1762987740,-93.9198,45.6375,838.2,False,55.68,242.49,-1.63,,845.82,,False,0
a665c5,GJS4556 ,United States,1762987740,1762987740,-77.3352,42.1972,6096.0,False,194.62,293.85,0.0,,5897.88,2616,False,0
ac2f61,N8842T  ,United States,1762987740,1762987740,-106.7244,31.9154,1615.44,False,56.6,7.84,3.9,,1714.5,,False,0
a71209,N555AL  ,United States,1762987740,1762987740,-92.9337,43.1404,8031.48,False,117.97,197.25,4.23,,8115.3,,False,0
ad6966,N963XP  ,United States,1762987740,1762987740,-79.6693,33.214,3093.72,False,141.49,206.57,-7.48,,3162.3,0535,False,0
ad3c16,AAL3090 ,United States,1762987740,1762987740,-75.873,38.8548,8763.0,False,243.66,36.24,-10.73,,8702.04,,False,0
a1befb,N211U   ,United States,1762987738,1762987738,-97.5461,31.7948,1173.48,False,30.87,233.13,0.0,,1234.44,,False,0
a5954e,UAL3049 ,United States,1762987740,1762987740,-87.5633,41.9658,1508.76,False,77.18,271.15,-0.33,,1463.04,3755,False,0
aa9300,UAL804  ,United States,1762987740,1762987740,-80.0242,39.6731,9364.98,False,310.55,132.65,-15.28,,9319.26,6272,False,0
abacb6,SCX606  ,United States,1762987741,1762987741,-111.2101,34.5082,9243.06,False,253.43,32.82,7.8,,9677.4,,False,0
ac96be,AAL2870 ,United States,1762987740,1762987740,-81.3886,31.3673,10050.78,False,243.22,19.01,0.0,,10431.78,6627,False,0
a83e31,N630ES  ,United States,1762987740,1762987741,-89.7333,39.1342,2087.88,False,92.1,72.78,0.0,,2125.98,,False,0
c06a11,TLK324  ,Canada,1762987740,1762987741,-93.0263,44.7973,1127.76,False,77.11,301.36,-3.9,,1112.52,1130,False,0
a69b26,N5247Q  ,United States,1762987625,1762987687,-83.8319,35.9731,373.38,False,31.32,255.74,-2.28,,396.24,,False,0
a21b44,MXY237  ,United States,1762987740,1762987740,-108.5662,39.091,11277.6,False,265.32,80.06,0.0,,11711.94,,False,0
a6053c,N4872D  ,United States,1762987598,1762987609,-88.0209,43.0948,411.48,False,49.14,59.14,-3.9,,381.0,1200,False,0
aa56b6,UAL1374 ,United States,1762987740,1762987740,-106.4733,37.8334,9448.8,False,241.73,12.91,0.33,,9852.66,,False,0
a09273,N136KY  ,United States,1762987740,1762987740,-71.7846,42.4426,640.08,False,59.54,186.45,-0.98,,502.92,,False,0
aa56b8,UAL642  ,United States,1762987739,1762987740,-110.2042,34.5781,10972.8,False,215.26,245.58,-0.33,,11475.72,,False,0
c07d1a,HRT373  ,Canada,1762987740,1762987740,-79.7982,43.9215,2926.08,False,152.12,103.1,-6.83,,2758.44,2260,False,0
ad4f2a,CFS4701 ,United States,1762987583,1762987740,-117.531,47.5303,1844.04,False,75.11,221.11,0.0,,1836.42,,False,0
aa56b4,UAL1109 ,United States,1762987740,1762987740,-105.3869,40.5348,6225.54,False,212.38,115.7,-9.1,,6446.52,0541,False,0
ac231d,FDY248  ,United States,1762987740,1762987740,-77.6948,39.2858,2164.08,False,97.07,32.01,-0.33,,2087.88,,False,0
a6c8cd,VJA536  ,United States,1762987740,1762987740,-84.8334,39.8096,13106.4,False,214.19,231.53,0.0,,13182.6,3423,False,0
aa56b3,UAL1193 ,United States,1762987740,1762987740,-87.8206,42.0027,548.64,False,60.7,270.0,-2.6,,518.16,4363,False,0
ad3c27,DAL1140 ,United States,1762987740,1762987740,-84.3865,31.2474,5669.28,False,207.38,178.58,-3.58,,5928.36,2004,False,0
acf9d2,N935SF  ,United States,1762987740,1762987740,-108.1829,34.9127,12192.0,False,215.37,284.67,0.33,,12717.78,,False,0
ade19c,N994BD  ,United States,1762987740,1762987740,-84.9652,36.4671,4526.28,False,92.02,30.58,-0.33,,4617.72,3164,False,0
acdfab,DAL1539 ,United States,1762987740,1762987740,-90.8925,35.1859,9753.6,False,220.27,285.3,0.33,,10104.12,1717,False,0
a33b23,UPS2778 ,United States,1762987531,1762987531,-95.3017,30.0073,129.54,False,81.28,269.64,-4.23,,175.26,,False,0
a042ff,N116FE  ,United States,1762987740,1762987740,-71.1433,42.4962,670.56,False,82.01,203.67,-0.33,,556.26,3056,False,0
ae26a5,C6579   ,United States,1762987676,1762987676,-80.1219,25.8048,-22.86,False,44.1,196.96,0.0,,45.72,,False,0
a57b66,N452VA  ,United States,1762987741,1762987741,-80.8584,28.668,1744.98,False,87.21,160.71,0.0,,1821.18,,False,0
ad694c,SWA3348 ,United States,1762987663,1762987671,-115.1462,36.0797,,True,0.06,354.38,,,,,False,0
ab63d7,DAL1225 ,United States,1762987740,1762987740,-81.7395,27.7992,5996.94,False,219.35,194.39,-13.0,,6309.36,6443,False,0
a46e35,DAL1010 ,United States,1762987740,1762987740,-82.2668,28.814,4389.12,False,200.66,174.11,-13.66,,4610.1,3304,False,0
a0e249,UPS2568 ,United States,1762987740,1762987740,-90.3424,44.2988,9753.6,False,189.85,308.95,0.0,,9761.22,6411,False,0
a665e3,CHP11   ,United States,1762987740,1762987740,-122.387,40.3767,944.88,False,57.56,151.14,0.0,,929.64,,False,0
a2355d,SKW3602 ,United States,1762987740,1762987740,-122.9118,40.8593,11277.6,False,199.54,183.84,0.33,,11452.86,,False,0
ac83b4,N905WA  ,United States,1762987600,1762987600,-80.2485,25.9981,-60.96,False,35.08,85.79,-3.9,,22.86,,False,0
a5de4a,N4776E  ,United States,1762987739,1762987740,-82.8169,27.9684,274.32,False,50.28,109.73,-2.28,,335.28,,False,0
4952ad,TAP224  ,Portugal,1762987740,1762987740,-79.5382,26.1695,4297.68,False,198.67,54.91,7.15,,4511.04,,False,0
aa4fc9,N7635W  ,United States,1762987671,1762987693,-85.5795,34.4846,1615.44,False,72.12,137.89,0.0,,1691.64,,False,0
4b1858,HBJFS   ,Switzerland,1762987741,1762987741,-75.5942,39.4547,7940.04,False,247.75,41.8,12.35,,7810.5,2465,False,0
ac2f83,SWA2427 ,United States,1762987740,1762987740,-99.5362,32.533,10972.8,False,219.15,266.1,0.0,,11468.1,2244,False,0
ae1fe9,G72218  ,United States,1762987624,1762987624,-73.796,42.758,266.7,False,33.44,202.62,-1.63,,198.12,,False,0
adeca5,AAL1894 ,United States,1762987740,1762987740,-80.9658,35.3731,1074.42,False,96.95,176.04,-4.88,,1074.42,2417,False,0
aadc4a,N7993W  ,United States,1762987569,1762987570,-95.1413,30.3445,441.96,False,53.23,55.23,-1.63,,495.3,,False,0
a58e13,N457WB  ,United States,1762987740,1762987740,-75.3752,37.5017,13106.4,False,217.61,212.94,0.0,,13167.36,7344,False,0
aaef89,AAL3179 ,United States,1762987740,1762987740,-73.8601,40.7724,,True,0.13,123.75,,,,3174,False,0
ab50b9,N828Y   ,United States,1762987737,1762987737,-73.4276,40.7369,236.22,False,39.34,297.24,2.6,,137.16,,False,0
ad564e,N959CF  ,United States,1762987740,1762987740,-118.0379,33.9746,449.58,False,40.26,296.57,-0.33,,449.58,,False,0
ad3c1f,ASA312  ,United States,1762987740,1762987740,-107.6934,45.5311,10972.8,False,177.18,293.44,0.0,,11170.92,,False,0
a7b057,DAL579  ,United States,1762987601,1762987601,-111.0044,41.1165,6560.82,False,224.08,85.13,6.18,,6499.86,6036,False,0
abb3b6,AAL3022 ,United States,1762987740,1762987740,-74.152,40.5302,2133.6,False,142.68,40.47,-5.2,,2011.68,1314,False,0
ac83c3,SIY905  ,United States,1762987740,1762987740,-74.3802,40.9762,952.5,False,144.09,67.1,0.0,,853.44,3154,False,0
aa4fb9,,United States,1762987740,1762987740,-84.8808,33.1327,1280.16,False,68.36,28.3,0.0,,1310.64,,False,0
aae354,N800R   ,United States,1762987740,1762987740,-81.2728,30.442,8206.74,False,229.14,177.56,-12.68,,8534.4,6056,False,0
a2d2eb,ENY4052 ,United States,1762987740,1762987740,-94.2008,35.7942,10363.2,False,241.61,188.08,0.33,,10751.82,,False,0
a4d82c,N411DK  ,United States,1762987739,1762987740,-111.8025,33.2655,1036.32,False,46.77,309.64,1.3,,1082.04,,False,0
a60505,OUA11   ,United States,1762987741,1762987741,-97.5221,35.1204,1028.7,False,44.05,47.37,2.93,,1059.18,,False,0
acdfcf,N929CD  ,United States,1762987740,1762987740,-104.8738,41.0842,2331.72,False,55.03,193.52,2.28,,2407.92,,False,0
a3426d,SFE1    ,United States,1762987740,1762987740,-97.7888,30.2411,236.22,False,25.23,249.72,-2.6,,259.08,,False,0
abc6f5,AUB147  ,United States,1762987453,1762987453,-84.9719,32.8385,723.9,False,59.68,89.01,-0.98,,769.62,,False,0
a34e9d,DAL2195 ,United States,1762987740,1762987740,-98.2309,33.1759,6873.24,False,204.55,293.73,5.53,,7208.52,0540,False,0
a1b2ee,JBU938  ,United States,1762987740,1762987740,-95.7598,28.9448,10066.02,False,253.19,67.29,0.0,,10568.94,2553,False,0
ac101f,SWA2912 ,United States,1762987735,1762987740,-104.5231,33.6708,11582.4,False,220.2,306.07,0.0,,12115.8,2433,False,0
ae13ab,WIRE31  ,United States,1762987739,1762987740,-97.5914,36.2617,2720.34,False,140.91,201.41,1.3,,2849.88,,False,0
ae6321,HAWK270 ,United States,1762987741,1762987741,-98.2549,26.8164,0.0,False,226.17,212.93,2.28,,960.12,,False,0
a0db99,N1541U  ,United States,1762987740,1762987740,-98.1396,30.184,1059.18,False,26.7,115.08,-0.65,,1112.52,,False,0
adffdb,BULLY05 ,United States,1762987662,1762987662,-100.4967,30.1422,4930.14,False,209.91,245.07,-11.7,,5288.28,,False,0
adfff2,NISAN2  ,United States,1762987741,1762987741,-98.7487,34.9378,4625.34,False,177.94,61.51,-1.95,,4838.7,,False,0
a72506,GFY562  ,United States,1762987740,1762987740,-122.8209,45.9424,1249.68,False,57.29,297.26,0.0,,1203.96,,False,0
a59529,N459SP  ,United States,1762987740,1762987740,-96.6623,33.0036,518.16,False,57.26,81.21,1.63,,533.4,,False,0
a4d849,N411EP  ,United States,1762987740,1762987740,-73.7826,40.6342,,True,3.09,120.94,,,,,False,0
a34268,SKW3632 ,United States,1762987440,1762987440,-121.9298,37.3688,,True,0.0,47.81,,,,,False,0
abfc71,SWA714  ,United States,1762987741,1762987741,-87.2916,35.9412,10058.4,False,254.87,68.2,0.0,,10347.96,7316,False,0
adecb6,DAL3031 ,United States,1762987740,1762987741,-84.1993,33.6495,1303.02,False,87.97,270.0,-4.88,,1356.36,,False,0
ac70c9,N900SN  ,United States,1762987731,1762987738,-121.9342,37.3614,,True,0.0,230.62,,,,,False,0
aae377,SKW4070 ,United States,1762987739,1762987739,-95.9137,44.0961,6560.82,False,218.33,63.25,12.35,,6644.64,,False,0
